Central,TR,RINGNO,species,age,sex,fat,pec,wing,mass,hr,min,day,month,year,location,INITIAL,BP,moult,BODYMOULT,HEADMOULT,CRINGED,NOTES
BTO,N,R038991,WHINC,4,F,5,2,79,19.6,08,30,07,04,2003,ACESB,DBN,0,M,,,,
BTO,N,R038993,WHINC,4,M,6,2,78,22.3,08,45,07,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433556,WHINC,4,M,6,2,78,23.3,09,45,09,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433570,WHINC,4,M,6,1,79,21,09,00,10,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433578,WHINC,4,M,5,1,78,18,07,15,11,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433583,WHINC,4,F,3,1,78,16.3,08,45,11,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433584,WHINC,4,F,4,2,76,17.6,09,15,11,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433585,WHINC,4,M,5,2,79,21.9,09,15,11,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433587,WHINC,4,M,5,2,78,22.8,09,45,11,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433589,WHINC,4,M,6,1,80,23.8,07,15,13,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433595,WHINC,4,M,6,2,79,22.9,08,15,13,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433597,WHINC,4,F,6,1,78,22.3,08,15,13,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433613,WHINC,4,F,4,2,77,16.9,07,15,15,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433641,WHINC,4,F,5,1,77,18.8,08,45,16,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433642,WHINC,4,F,3,1,78,15.1,09,00,16,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433653,WHINC,4,F,5,2,77,18.3,07,15,17,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433666,WHINC,4,F,5,2,78,18.4,08,30,17,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433692,WHINC,4,F,6,1,78,21.5,07,00,19,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433696,WHINC,4,F,4,1,77,17.7,07,30,19,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433697,WHINC,4,F,6,2,77,20.2,08,00,19,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433701,WHINC,4,F,5,1,76,19.8,08,30,19,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433717,WHINC,4,F,6,1,75,20.2,07,45,21,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433719,WHINC,4,F,6,2,77,23.3,07,45,21,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433731,WHINC,4,F,6,2,75,22.1,09,00,21,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433745,WHINC,4,F,6,2,77,22.2,07,15,22,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433757,WHINC,4,F,6,1,75,23,10,00,22,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433768,WHINC,4,M,6,1,77,24.2,08,00,23,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433808,WHINC,4,F,6,2,80,22.1,07,15,28,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433812,WHINC,4,F,5,2,77,20.2,09,15,28,04,2003,ACESB,DBN,0,O,,,,
BTO,N,R433835,WHINC,4,F,6,2,76,19.9,09,45,01,05,2003,ACESB,UON,0,O,,,,
